"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2018","58.65","58.65","58.65","58.65","","0.95%"
"01/29/2018","58.10","58.10","58.10","58.10","","-2.60%"
"01/26/2018","59.65","59.65","59.65","59.65","","0.08%"
"01/25/2018","59.60","59.60","59.60","59.60","","-4.10%"
"01/24/2018","62.15","62.15","62.15","62.15","","-1.19%"
"01/23/2018","62.90","62.90","62.90","62.90","","22.49%"
"01/22/2018","51.35","51.35","51.35","51.35","","4.37%"
"01/19/2018","49.20","49.20","49.20","49.20","","0.82%"
"01/18/2018","48.80","48.80","48.80","48.80","","-2.98%"
"01/17/2018","50.30","50.30","50.30","50.30","","5.45%"
"01/16/2018","47.70","47.70","47.70","47.70","","-4.89%"
"01/12/2018","50.15","50.15","50.15","50.15","","3.08%"
"01/11/2018","48.65","48.65","48.65","48.65","","5.65%"
"01/10/2018","46.05","46.05","46.05","46.05","","2.33%"
"01/09/2018","45.00","45.00","45.00","45.00","","10.84%"
"01/08/2018","40.60","40.60","40.60","40.60","","6.01%"
"01/05/2018","38.30","38.30","38.30","38.30","","-4.37%"
"01/04/2018","40.05","40.05","40.05","40.05","","-0.50%"
"01/03/2018","40.25","40.25","40.25","40.25","","-0.86%"
"01/02/2018","40.60","40.60","40.60","40.60","","-22.42%"
"12/29/2017","52.33","52.33","52.33","52.33","","12.06%"
"12/28/2017","46.70","46.70","46.70","46.70","","19.28%"
"12/27/2017","39.15","39.15","39.15","39.15","","8.00%"
"12/26/2017","36.25","36.25","36.25","36.25","","7.25%"
"12/22/2017","33.80","33.80","33.80","33.80","","1.05%"
"12/21/2017","33.45","33.45","33.45","33.45","","-1.62%"
"12/20/2017","34.00","34.00","34.00","34.00","","2.56%"
"12/19/2017","33.15","33.15","33.15","33.15","","-1.34%"
"12/18/2017","33.60","33.60","33.60","33.60","","3.86%"
"12/15/2017","32.35","32.35","32.35","32.35","","-0.92%"
"12/14/2017","32.65","32.65","32.65","32.65","","-2.97%"
"12/13/2017","33.65","33.65","33.65","33.65","","-0.88%"
"12/12/2017","33.95","33.95","33.95","33.95","","-2.30%"
"12/11/2017","34.75","34.75","34.75","34.75","","-0.57%"
"12/08/2017","34.95","34.95","34.95","34.95","","1.01%"
"12/07/2017","34.60","34.60","34.60","34.60","","-1.14%"
"12/06/2017","35.00","35.00","35.00","35.00","","-1.69%"
"12/05/2017","35.60","35.60","35.60","35.60","","-0.97%"
"12/04/2017","35.95","35.95","35.95","35.95","","-1.37%"
"12/01/2017","36.45","36.45","36.45","36.45","","17.92%"
"11/30/2017","30.91","30.91","30.91","30.91","","-2.49%"
"11/29/2017","31.70","31.70","31.70","31.70","","5.84%"
"11/28/2017","29.95","29.95","29.95","29.95","","3.63%"
"11/27/2017","28.90","28.90","28.90","28.90","","2.48%"
"11/24/2017","28.20","28.20","28.20","28.20","","0.00%"
"11/22/2017","28.20","28.20","28.20","28.20","","-0.88%"
"11/21/2017","28.45","28.45","28.45","28.45","","0.71%"
"11/20/2017","28.25","28.25","28.25","28.25","","-1.57%"
"11/17/2017","28.70","28.70","28.70","28.70","","0.88%"
"11/16/2017","28.45","28.45","28.45","28.45","","-0.52%"
"11/15/2017","28.60","28.60","28.60","28.60","","0.18%"
"11/14/2017","28.55","28.55","28.55","28.55","","-1.72%"
"11/13/2017","29.05","29.05","29.05","29.05","","0.00%"
"11/10/2017","29.05","29.05","29.05","29.05","","-1.53%"
"11/09/2017","29.50","29.50","29.50","29.50","","1.37%"
"11/08/2017","29.10","29.10","29.10","29.10","","0.17%"
"11/07/2017","29.05","29.05","29.05","29.05","","0.87%"
"11/06/2017","28.80","28.80","28.80","28.80","","2.49%"
"11/03/2017","28.10","28.10","28.10","28.10","","0.54%"
"11/02/2017","27.95","27.95","27.95","27.95","","1.45%"
"11/01/2017","27.55","27.55","27.55","27.55","","12.54%"
"10/31/2017","24.48","24.48","24.48","24.48","","0.12%"
"10/30/2017","24.45","24.45","24.45","24.45","","0.62%"
"10/27/2017","24.30","24.30","24.30","24.30","","-1.62%"
